timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw
2026/02/02 11:13:28.745,0,5,27345,81559,29,119.98
2026/02/02 11:13:28.748,1,5,27409,81559,31,119.56
2026/02/02 11:13:28.750,2,5,27393,81559,28,120.41
2026/02/02 11:13:28.751,3,5,27169,81559,27,119.62
2026/02/02 11:13:28.752,4,5,26595,81559,30,118.40
2026/02/02 11:13:28.758,5,5,26659,81559,27,115.73
2026/02/02 11:13:28.763,6,4,26643,81559,27,120.01
2026/02/02 11:13:28.772,7,5,26419,81559,25,117.28
2026/02/02 11:13:29.956,0,5,27345,81559,29,120.10
2026/02/02 11:13:29.959,1,5,27409,81559,31,119.60
2026/02/02 11:13:29.961,2,4,27393,81559,28,120.45
2026/02/02 11:13:29.962,3,5,27169,81559,27,119.62
2026/02/02 11:13:29.963,4,5,26595,81559,30,118.39
2026/02/02 11:13:29.964,5,5,26659,81559,27,115.73
2026/02/02 11:13:29.969,6,5,26643,81559,27,120.20
2026/02/02 11:13:29.978,7,5,26419,81559,25,117.26
2026/02/02 11:13:31.131,0,4,27345,81559,29,120.08
2026/02/02 11:13:31.136,1,4,27409,81559,31,119.55
2026/02/02 11:13:31.143,2,4,27393,81559,28,120.60
2026/02/02 11:13:31.147,3,4,27169,81559,27,119.97
2026/02/02 11:13:31.148,4,4,26595,81559,30,118.43
2026/02/02 11:13:31.152,5,5,26659,81559,27,115.73
2026/02/02 11:13:31.153,6,5,26643,81559,27,120.03
2026/02/02 11:13:31.163,7,5,26419,81559,25,117.37
2026/02/02 11:13:32.313,0,4,27345,81559,29,120.16
2026/02/02 11:13:32.317,1,4,27409,81559,31,119.66
2026/02/02 11:13:32.318,2,4,27393,81559,28,120.52
2026/02/02 11:13:32.319,3,4,27169,81559,27,119.82
2026/02/02 11:13:32.320,4,3,26595,81559,30,118.30
2026/02/02 11:13:32.321,5,3,26659,81559,27,115.63
2026/02/02 11:13:32.322,6,4,26643,81559,27,120.14
2026/02/02 11:13:32.331,7,4,26419,81559,25,117.25
2026/02/02 11:13:33.504,0,3,27345,81559,29,120.12
2026/02/02 11:13:33.510,1,4,27409,81559,31,119.54
2026/02/02 11:13:33.512,2,4,27393,81559,28,120.40
2026/02/02 11:13:33.513,3,4,27169,81559,27,119.63
2026/02/02 11:13:33.514,4,3,26595,81559,30,118.28
2026/02/02 11:13:33.516,5,4,26659,81559,27,115.64
2026/02/02 11:13:33.517,6,4,26643,81559,27,120.02
2026/02/02 11:13:33.530,7,4,26419,81559,25,117.24
2026/02/02 11:13:34.683,0,4,27345,81559,29,120.15
2026/02/02 11:13:34.686,1,4,27409,81559,31,119.65
2026/02/02 11:13:34.687,2,5,27393,81559,28,120.60
2026/02/02 11:13:34.688,3,3,27169,81559,27,119.65
2026/02/02 11:13:34.689,4,5,26595,81559,30,118.43
2026/02/02 11:13:34.690,5,4,26659,81559,27,115.85
2026/02/02 11:13:34.692,6,4,26643,81559,27,120.04
2026/02/02 11:13:34.701,7,4,26419,81559,25,117.39
2026/02/02 11:13:35.846,0,4,27345,81559,29,120.08
2026/02/02 11:13:35.849,1,4,27409,81559,31,119.66
2026/02/02 11:13:35.850,2,5,27393,81559,28,120.45
2026/02/02 11:13:35.852,3,4,27169,81559,27,119.80
2026/02/02 11:13:35.853,4,5,26595,81559,30,118.33
2026/02/02 11:13:35.854,5,4,26659,81559,27,115.82
2026/02/02 11:13:35.856,6,4,26643,81559,27,119.99
2026/02/02 11:13:35.857,7,3,26419,81559,25,117.28
2026/02/02 11:13:37.010,0,5,27345,81559,29,120.26
2026/02/02 11:13:37.014,1,5,27409,81559,31,119.54
2026/02/02 11:13:37.016,2,5,27393,81559,28,120.54
2026/02/02 11:13:37.020,3,5,27169,81559,27,119.79
2026/02/02 11:13:37.021,4,5,26595,81559,30,118.38
2026/02/02 11:13:37.022,5,5,26659,81559,27,115.82
2026/02/02 11:13:37.025,6,5,26643,81559,27,120.18
2026/02/02 11:13:37.030,7,5,26419,81559,25,117.31
2026/02/02 11:13:38.209,0,10,27345,81559,29,120.25
2026/02/02 11:13:38.212,1,10,27409,81559,31,119.80
2026/02/02 11:13:38.213,2,6,27393,81559,28,120.55
2026/02/02 11:13:38.214,3,10,27169,81559,27,119.99
2026/02/02 11:13:38.216,4,4,26595,81559,30,118.41
2026/02/02 11:13:38.217,5,4,26659,81559,27,115.77
2026/02/02 11:13:38.218,6,4,26643,81559,27,120.13
2026/02/02 11:13:38.219,7,5,26419,81559,25,117.33
2026/02/02 11:13:39.365,0,10,27345,81559,29,120.18
2026/02/02 11:13:39.369,1,10,27409,81559,31,119.69
2026/02/02 11:13:39.370,2,6,27393,81559,28,120.54
2026/02/02 11:13:39.371,3,10,27169,81559,27,119.70
2026/02/02 11:13:39.372,4,4,26595,81559,30,118.43
2026/02/02 11:13:39.373,5,4,26659,81559,27,115.68
2026/02/02 11:13:39.379,6,4,26643,81559,27,120.10
2026/02/02 11:13:39.380,7,5,26419,81559,25,117.23
2026/02/02 11:13:40.613,0,0,27345,81559,29,119.93
2026/02/02 11:13:40.616,1,0,27409,81559,31,119.37
2026/02/02 11:13:40.621,2,0,27393,81559,28,120.33
2026/02/02 11:13:40.628,3,0,27169,81559,27,119.48
2026/02/02 11:13:40.636,4,4,26595,81559,30,118.35
2026/02/02 11:13:40.648,5,4,26659,81559,27,115.95
2026/02/02 11:13:40.656,6,4,26643,81559,27,120.12
2026/02/02 11:13:40.664,7,7,26419,81559,25,117.30
2026/02/02 11:13:41.884,0,8,27353,81559,29,119.84
2026/02/02 11:13:41.887,1,7,27417,81559,31,119.47
2026/02/02 11:13:41.898,2,7,27403,81559,28,120.22
2026/02/02 11:13:41.916,3,7,27177,81559,27,119.50
2026/02/02 11:13:41.925,4,10,26595,81559,30,118.55
2026/02/02 11:13:41.945,5,10,26659,81559,27,115.80
2026/02/02 11:13:41.952,6,10,26643,81559,27,120.28
2026/02/02 11:13:41.964,7,10,26419,81559,25,117.43
2026/02/02 11:13:43.114,0,10,27355,81559,29,120.32
2026/02/02 11:13:43.118,1,10,27417,81559,31,119.80
2026/02/02 11:13:43.119,2,10,27403,81559,28,120.55
2026/02/02 11:13:43.125,3,10,27177,81559,27,119.85
2026/02/02 11:13:43.130,4,0,26595,81559,30,118.41
2026/02/02 11:13:43.148,5,6,26659,81559,27,115.85
2026/02/02 11:13:43.156,6,0,26643,81559,27,120.11
2026/02/02 11:13:43.164,7,0,26419,81559,25,117.26
2026/02/02 11:13:44.379,0,0,27355,81559,29,119.93
2026/02/02 11:13:44.382,1,0,27417,81559,31,119.33
2026/02/02 11:13:44.390,2,0,27403,81559,28,120.13
2026/02/02 11:13:44.395,3,0,27177,81559,27,119.38
2026/02/02 11:13:44.403,4,0,26603,81559,30,118.08
2026/02/02 11:13:44.411,5,0,26667,81559,27,115.42
2026/02/02 11:13:44.428,6,0,26651,81559,27,119.75
2026/02/02 11:13:44.436,7,0,26427,81559,25,116.93
2026/02/02 11:13:45.716,0,0,27363,81559,29,119.70
2026/02/02 11:13:45.719,1,0,27427,81559,31,119.15
2026/02/02 11:13:45.726,2,0,27411,81559,28,120.03
2026/02/02 11:13:45.731,3,0,27187,81559,27,119.14
2026/02/02 11:13:45.738,4,9,26605,81559,30,118.49
2026/02/02 11:13:45.746,5,10,26669,81559,27,115.76
2026/02/02 11:13:45.754,6,10,26653,81559,27,120.20
2026/02/02 11:13:45.764,7,9,26429,81559,25,117.35
2026/02/02 11:13:46.921,0,0,3275,81559,29,121.42
2026/02/02 11:13:46.923,1,0,3339,81559,31,121.07
2026/02/02 11:13:46.924,2,0,3323,81559,28,120.12
2026/02/02 11:13:46.930,3,0,3099,81559,27,121.17
2026/02/02 11:13:46.936,4,2,26605,81559,30,118.43
2026/02/02 11:13:46.946,5,7,26669,81559,27,115.85
2026/02/02 11:13:46.954,6,2,26653,81559,27,120.17
2026/02/02 11:13:46.965,7,3,26429,81559,25,117.25
2026/02/02 11:13:48.212,0,0,3275,81559,29,119.76
2026/02/02 11:13:48.215,1,0,3339,81559,31,119.35
2026/02/02 11:13:48.221,2,0,3323,81559,28,120.08
2026/02/02 11:13:48.229,3,0,3099,81559,27,119.34
2026/02/02 11:13:48.235,4,1,26613,81559,30,118.09
2026/02/02 11:13:48.247,5,2,26677,81559,27,115.38
2026/02/02 11:13:48.254,6,5,26661,81559,27,119.74
2026/02/02 11:13:48.264,7,1,26437,81559,25,116.85
