timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:18:11.891,0,81,77500,81559,38,330.41,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:18:11.901,1,97,77376,81559,39,335.42,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:18:11.913,2,98,77436,81559,36,332.35,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:18:11.920,3,95,76734,81559,39,350.17,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:18:11.924,4,97,77590,81559,40,332.58,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:18:11.928,5,95,77712,81559,35,338.07,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:18:11.932,6,96,77834,81559,38,345.78,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:18:11.948,7,97,76912,81559,34,334.85,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:18:13.633,0,97,77500,81559,37,305.24,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:18:13.642,1,98,77376,81559,39,304.47,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:18:13.648,2,99,77436,81559,36,307.86,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:18:13.653,3,99,76734,81559,39,316.83,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:18:13.657,4,98,77590,81559,40,306.21,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:18:13.662,5,99,77712,81559,35,313.10,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:18:13.669,6,99,77834,81559,38,318.16,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:18:13.673,7,98,76912,81559,34,305.76,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:18:15.111,0,99,77500,81559,37,315.79,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:18:15.120,1,96,77376,81559,38,323.01,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:18:15.127,2,94,77436,81559,36,316.87,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:18:15.130,3,96,76734,81559,39,331.00,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:18:15.133,4,96,77590,81559,41,318.16,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:18:15.137,5,99,77712,81559,35,319.70,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:18:15.140,6,75,77834,81559,38,320.97,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:18:15.143,7,96,76912,81559,34,319.34,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:18:16.727,0,98,77500,81559,38,333.65,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:18:16.737,1,99,77376,81559,39,328.50,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:18:16.751,2,92,77436,81559,36,316.49,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:18:16.756,3,99,76734,81559,39,332.38,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:18:16.768,4,99,77590,81559,41,325.41,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:18:16.772,5,98,77712,81559,35,327.91,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:18:16.776,6,99,77834,81559,39,340.34,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:18:16.780,7,99,76912,81559,34,328.31,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:18:18.637,0,99,77500,81559,39,325.95,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:18:18.648,1,98,77376,81559,40,322.10,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:18:18.656,2,99,77436,81559,37,312.04,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:18:18.661,3,99,76734,81559,40,325.62,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:18:18.665,4,99,77590,81559,42,314.69,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:18:18.670,5,99,77712,81559,36,318.85,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:18:18.675,6,99,77834,81559,39,329.54,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:18:18.679,7,98,76912,81559,35,318.02,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:18:20.231,0,70,77500,81559,38,339.73,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:18:20.242,1,98,77376,81559,39,329.81,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:18:20.250,2,97,77436,81559,36,336.24,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:18:20.255,3,99,76734,81559,39,349.56,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:18:20.258,4,98,77590,81559,41,335.34,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:18:20.262,5,97,77712,81559,35,335.81,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:18:20.266,6,99,77834,81559,38,337.91,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:18:20.274,7,98,76912,81559,34,330.47,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:18:21.698,0,88,77500,81559,38,331.37,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:18:21.706,1,99,77376,81559,39,326.29,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:18:21.712,2,96,77436,81559,36,324.88,ray::WorkerDict; sglang::scheduler_TP2_EP2
