timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:43:40.120,0,0,1,81559,27,72.12,
2026/02/02 13:43:40.121,1,0,1,81559,29,73.44,
2026/02/02 13:43:40.121,2,0,1,81559,26,73.99,
2026/02/02 13:43:40.122,3,0,1,81559,25,71.54,
2026/02/02 13:43:40.122,4,0,1,81559,28,73.13,
2026/02/02 13:43:40.132,5,0,1,81559,25,70.61,
2026/02/02 13:43:40.142,6,0,1,81559,25,73.38,
2026/02/02 13:43:40.157,7,0,1,81559,23,70.96,
2026/02/02 13:43:41.710,0,0,1,81559,27,72.12,
2026/02/02 13:43:41.711,1,0,1,81559,29,73.46,
2026/02/02 13:43:41.711,2,0,1,81559,26,74.00,
2026/02/02 13:43:41.712,3,0,1,81559,25,71.35,
2026/02/02 13:43:41.712,4,0,1,81559,28,73.13,
2026/02/02 13:43:41.713,5,0,1,81559,25,70.56,
2026/02/02 13:43:41.713,6,0,1,81559,25,73.33,
2026/02/02 13:43:41.714,7,0,1,81559,23,70.98,
2026/02/02 13:43:43.098,0,0,1,81559,27,72.12,
2026/02/02 13:43:43.099,1,0,1,81559,29,73.46,
2026/02/02 13:43:43.099,2,0,1,81559,26,73.98,
2026/02/02 13:43:43.100,3,0,1,81559,25,71.49,
2026/02/02 13:43:43.100,4,0,1,81559,28,73.11,
2026/02/02 13:43:43.101,5,0,1,81559,25,70.55,
2026/02/02 13:43:43.101,6,0,1,81559,25,73.36,
2026/02/02 13:43:43.102,7,0,1,81559,23,70.96,
2026/02/02 13:43:44.590,0,0,1,81559,27,72.11,
2026/02/02 13:43:44.591,1,0,1,81559,29,73.46,
2026/02/02 13:43:44.608,2,0,1,81559,26,73.99,
2026/02/02 13:43:44.616,3,0,1,81559,25,71.56,
2026/02/02 13:43:44.622,4,0,1,81559,28,73.09,
2026/02/02 13:43:44.634,5,0,1,81559,25,70.56,
2026/02/02 13:43:44.644,6,0,1,81559,25,73.32,
2026/02/02 13:43:44.661,7,0,1,81559,23,70.97,
2026/02/02 13:43:46.239,0,0,1,81559,27,72.11,
2026/02/02 13:43:46.240,1,0,1,81559,29,73.47,
2026/02/02 13:43:46.242,2,0,1,81559,26,73.95,
2026/02/02 13:43:46.242,3,0,1,81559,25,71.36,
2026/02/02 13:43:46.249,4,0,1,81559,28,73.14,
2026/02/02 13:43:46.260,5,0,1,81559,25,70.56,
2026/02/02 13:43:46.271,6,0,1,81559,25,73.31,
2026/02/02 13:43:46.281,7,0,1,81559,23,70.96,
2026/02/02 13:43:47.742,0,0,1,81559,27,72.13,
2026/02/02 13:43:47.743,1,0,1,81559,29,73.45,
2026/02/02 13:43:47.744,2,0,1,81559,26,74.00,
2026/02/02 13:43:47.745,3,0,1,81559,25,71.56,
2026/02/02 13:43:47.745,4,0,1,81559,28,73.06,
2026/02/02 13:43:47.746,5,0,1,81559,25,70.49,
2026/02/02 13:43:47.750,6,0,1,81559,25,73.30,
2026/02/02 13:43:47.761,7,0,1,81559,23,70.95,
2026/02/02 13:43:49.144,0,0,1,81559,27,72.09,
2026/02/02 13:43:49.145,1,0,1,81559,29,73.45,
2026/02/02 13:43:49.145,2,0,1,81559,26,74.02,
2026/02/02 13:43:49.146,3,0,1,81559,25,71.52,
2026/02/02 13:43:49.146,4,0,1,81559,28,73.06,
2026/02/02 13:43:49.147,5,0,1,81559,25,70.62,
2026/02/02 13:43:49.147,6,0,1,81559,25,73.27,
2026/02/02 13:43:49.148,7,0,1,81559,23,70.98,
2026/02/02 13:43:50.624,0,0,1,81559,27,72.10,
2026/02/02 13:43:50.624,1,0,1,81559,29,73.44,
2026/02/02 13:43:50.625,2,0,1,81559,26,73.96,
2026/02/02 13:43:50.634,3,0,1,81559,25,71.37,
2026/02/02 13:43:50.642,4,0,1,81559,28,73.06,
2026/02/02 13:43:50.649,5,0,1,81559,25,70.73,
2026/02/02 13:43:50.657,6,0,1,81559,25,73.28,
2026/02/02 13:43:50.668,7,0,1,81559,23,70.93,
2026/02/02 13:43:52.114,0,0,1,81559,27,72.10,
2026/02/02 13:43:52.115,1,0,1,81559,29,73.44,
2026/02/02 13:43:52.117,2,0,1,81559,26,73.94,
2026/02/02 13:43:52.120,3,0,1,81559,25,71.31,
2026/02/02 13:43:52.120,4,0,1,81559,28,73.06,
2026/02/02 13:43:52.130,5,0,1,81559,25,70.71,
2026/02/02 13:43:52.140,6,0,1,81559,25,73.32,
2026/02/02 13:43:52.156,7,0,1,81559,23,70.96,
2026/02/02 13:43:53.772,0,0,1,81559,27,72.10,
2026/02/02 13:43:53.773,1,0,1,81559,29,73.45,
2026/02/02 13:43:53.773,2,0,1,81559,26,73.94,
2026/02/02 13:43:53.774,3,0,1,81559,25,71.58,
2026/02/02 13:43:53.780,4,0,1,81559,28,73.04,
2026/02/02 13:43:53.783,5,0,1,81559,25,70.70,
2026/02/02 13:43:53.786,6,0,1,81559,25,73.27,
2026/02/02 13:43:53.791,7,0,1,81559,23,70.92,
2026/02/02 13:43:55.341,0,0,1,81559,27,72.07,
2026/02/02 13:43:55.341,1,0,1,81559,29,73.43,
2026/02/02 13:43:55.352,2,0,1,81559,26,73.96,
2026/02/02 13:43:55.363,3,0,1,81559,25,71.32,
2026/02/02 13:43:55.372,4,0,1,81559,28,72.99,
2026/02/02 13:43:55.381,5,0,1,81559,25,70.68,
2026/02/02 13:43:55.392,6,0,1,81559,25,73.26,
2026/02/02 13:43:55.402,7,0,1,81559,23,71.00,
2026/02/02 13:43:56.824,0,0,1,81559,27,72.12,
2026/02/02 13:43:56.824,1,0,1,81559,29,73.41,
2026/02/02 13:43:56.825,2,0,1,81559,26,73.96,
2026/02/02 13:43:56.825,3,0,1,81559,25,71.45,
2026/02/02 13:43:56.835,4,0,1,81559,28,73.04,
2026/02/02 13:43:56.846,5,0,1,81559,25,70.66,
2026/02/02 13:43:56.854,6,0,1,81559,25,73.23,
2026/02/02 13:43:56.863,7,0,1,81559,23,70.94,
2026/02/02 13:43:58.257,0,0,1,81559,27,72.05,
2026/02/02 13:43:58.258,1,0,1,81559,29,73.42,
2026/02/02 13:43:58.258,2,0,1,81559,26,73.95,
2026/02/02 13:43:58.258,3,0,1,81559,25,71.52,
2026/02/02 13:43:58.259,4,0,1,81559,28,72.97,
2026/02/02 13:43:58.259,5,0,1,81559,25,70.67,
2026/02/02 13:43:58.269,6,0,1,81559,25,73.24,
2026/02/02 13:43:58.277,7,0,1,81559,23,70.94,
2026/02/02 13:43:59.866,0,0,1,81559,27,72.08,
2026/02/02 13:43:59.870,1,0,1,81559,29,73.44,
2026/02/02 13:43:59.877,2,0,1,81559,26,73.95,
2026/02/02 13:43:59.877,3,0,1,81559,25,71.39,
2026/02/02 13:43:59.878,4,0,1,81559,28,72.96,
2026/02/02 13:43:59.878,5,0,1,81559,25,70.69,
2026/02/02 13:43:59.879,6,0,1,81559,25,73.26,
2026/02/02 13:43:59.879,7,0,1,81559,23,70.92,
2026/02/02 13:44:01.397,0,0,1,81559,27,72.06,
2026/02/02 13:44:01.397,1,0,1,81559,29,73.44,
2026/02/02 13:44:01.407,2,0,1,81559,26,73.95,
2026/02/02 13:44:01.415,3,0,1,81559,25,71.38,
2026/02/02 13:44:01.427,4,0,1,81559,28,73.00,
2026/02/02 13:44:01.438,5,0,1,81559,25,70.71,
2026/02/02 13:44:01.449,6,0,1,81559,25,73.23,
2026/02/02 13:44:01.464,7,0,1,81559,23,70.89,
2026/02/02 13:44:02.833,0,0,1,81559,27,72.08,
2026/02/02 13:44:02.833,1,0,1,81559,29,73.40,
2026/02/02 13:44:02.834,2,0,1,81559,26,73.95,
2026/02/02 13:44:02.834,3,0,1,81559,25,71.50,
2026/02/02 13:44:02.845,4,0,1,81559,28,72.97,
2026/02/02 13:44:02.856,5,0,1,81559,25,70.69,
2026/02/02 13:44:02.866,6,0,1,81559,25,73.24,
2026/02/02 13:44:02.875,7,0,1,81559,23,70.90,
2026/02/02 13:44:04.264,0,0,1,81559,27,72.08,
2026/02/02 13:44:04.267,1,0,1,81559,29,73.44,
2026/02/02 13:44:04.269,2,0,1,81559,26,73.96,
2026/02/02 13:44:04.269,3,0,1,81559,25,71.55,
2026/02/02 13:44:04.270,4,0,1,81559,28,72.96,
2026/02/02 13:44:04.270,5,0,1,81559,25,70.66,
2026/02/02 13:44:04.281,6,0,1,81559,25,73.22,
2026/02/02 13:44:04.292,7,0,1,81559,23,70.90,
2026/02/02 13:44:05.719,0,0,1,81559,27,72.01,
2026/02/02 13:44:05.720,1,0,1,81559,29,73.44,
2026/02/02 13:44:05.721,2,0,1,81559,26,73.93,
2026/02/02 13:44:05.722,3,0,1,81559,25,71.45,
2026/02/02 13:44:05.722,4,0,1,81559,28,72.97,
2026/02/02 13:44:05.723,5,0,1,81559,25,70.66,
2026/02/02 13:44:05.723,6,0,1,81559,25,73.25,
2026/02/02 13:44:05.724,7,0,1,81559,23,70.91,
2026/02/02 13:44:07.411,0,0,1,81559,27,72.04,
2026/02/02 13:44:07.418,1,0,1,81559,29,73.42,
2026/02/02 13:44:07.426,2,0,1,81559,26,73.94,
2026/02/02 13:44:07.440,3,0,1,81559,25,71.46,
2026/02/02 13:44:07.450,4,0,1,81559,28,72.93,
2026/02/02 13:44:07.452,5,0,1,81559,25,70.65,
2026/02/02 13:44:07.456,6,0,1,81559,25,73.21,
2026/02/02 13:44:07.461,7,0,1,81559,23,70.96,
2026/02/02 13:44:08.844,0,0,1,81559,27,72.06,
2026/02/02 13:44:08.845,1,0,1,81559,29,73.39,
2026/02/02 13:44:08.845,2,0,1,81559,26,73.93,
2026/02/02 13:44:08.846,3,0,1,81559,25,71.49,
2026/02/02 13:44:08.854,4,0,1,81559,28,72.99,
2026/02/02 13:44:08.861,5,0,1,81559,25,70.62,
2026/02/02 13:44:08.870,6,0,1,81559,25,73.23,
2026/02/02 13:44:08.882,7,0,1,81559,23,70.91,
2026/02/02 13:44:10.244,0,0,1,81559,27,72.05,
2026/02/02 13:44:10.245,1,0,1,81559,29,73.43,
2026/02/02 13:44:10.246,2,0,1,81559,26,73.94,
2026/02/02 13:44:10.246,3,0,1,81559,25,71.46,
2026/02/02 13:44:10.247,4,0,1,81559,28,72.95,
2026/02/02 13:44:10.247,5,0,1,81559,25,70.64,
