timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:48:50.621,0,10,48222,81559,31,145.93,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:48:50.633,1,83,48198,81559,32,143.56,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:48:50.636,2,95,48150,81559,29,146.60,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:48:50.647,3,90,47718,81559,30,148.20,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:48:50.656,4,93,48836,81559,32,144.27,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:48:50.662,5,92,48980,81559,28,142.16,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:48:50.666,6,91,48932,81559,30,147.26,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:48:50.671,7,82,48500,81559,26,143.82,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:48:52.413,0,24,48222,81559,31,148.12,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:48:52.421,1,78,48198,81559,32,145.90,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:48:52.425,2,80,48150,81559,29,149.08,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:48:52.429,3,85,47718,81559,30,149.70,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:48:52.431,4,79,48836,81559,32,145.87,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:48:52.434,5,84,48980,81559,28,142.91,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:48:52.436,6,84,48932,81559,30,148.81,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:48:52.439,7,78,48500,81559,27,145.63,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:48:53.817,0,16,48222,81559,31,148.04,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:48:53.822,1,86,48198,81559,32,143.88,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:48:53.826,2,90,48150,81559,29,146.58,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:48:53.828,3,80,47718,81559,30,148.21,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:48:53.831,4,85,48836,81559,32,142.95,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:48:53.833,5,81,48980,81559,28,141.10,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:48:53.836,6,81,48932,81559,30,146.68,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:48:53.838,7,87,48500,81559,26,142.74,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:48:55.338,0,19,48222,81559,31,150.26,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:48:55.362,1,84,48198,81559,32,146.74,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:48:55.376,2,79,48150,81559,29,148.24,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:48:55.389,3,89,47718,81559,30,150.02,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:48:55.392,4,86,48836,81559,32,146.97,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:48:55.396,5,82,48980,81559,28,144.99,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:48:55.400,6,86,48932,81559,30,149.22,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:48:55.426,7,88,48500,81559,26,146.49,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:48:57.074,0,23,48222,81559,31,145.45,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:48:57.079,1,91,48198,81559,32,146.20,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:48:57.082,2,83,48150,81559,29,147.74,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:48:57.085,3,86,47718,81559,30,148.56,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:48:57.087,4,90,48836,81559,32,144.83,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:48:57.089,5,91,48980,81559,28,142.82,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:48:57.091,6,90,48932,81559,30,149.23,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:48:57.094,7,91,48500,81559,26,145.27,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:48:58.502,0,12,48222,81559,31,146.53,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:48:58.508,1,91,48198,81559,32,143.45,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
