timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:51:24.819,0,96,73690,81559,39,342.45,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:51:24.824,1,46,73682,81559,40,325.69,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:51:24.829,2,94,73618,81559,37,331.28,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:51:24.834,3,94,73202,81559,40,346.89,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:51:24.843,4,94,73516,81559,42,333.20,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:51:24.856,5,94,73676,81559,36,334.86,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:51:24.869,6,95,73612,81559,39,342.64,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:51:24.874,7,90,73196,81559,35,329.89,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:51:26.503,0,98,73692,81559,39,342.38,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:51:26.509,1,71,73684,81559,40,327.37,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:51:26.512,2,97,73620,81559,37,331.86,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:51:26.515,3,96,73204,81559,40,346.60,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:51:26.518,4,97,73518,81559,41,336.33,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:51:26.520,5,98,73678,81559,36,339.52,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:51:26.523,6,97,73614,81559,39,343.13,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:51:26.526,7,95,73198,81559,34,333.61,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:51:28.000,0,99,73692,81559,39,336.80,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:51:28.018,1,99,73684,81559,40,329.66,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:51:28.023,2,99,73620,81559,37,332.71,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:51:28.027,3,99,73204,81559,41,345.11,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:51:28.030,4,96,73518,81559,41,337.49,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:51:28.032,5,98,73678,81559,36,333.41,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:51:28.044,6,99,73614,81559,39,341.30,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:51:28.048,7,99,73198,81559,34,337.20,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:51:29.444,0,79,73692,81559,40,324.74,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:51:29.449,1,73,73684,81559,40,316.24,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:51:29.453,2,99,73620,81559,37,318.28,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:51:29.455,3,95,73204,81559,40,327.49,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:51:29.458,4,99,73518,81559,42,320.16,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:51:29.461,5,98,73678,81559,36,318.14,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:51:29.463,6,96,73614,81559,39,331.27,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:51:29.466,7,95,73198,81559,35,315.40,ray::WorkerDict; sglang::scheduler_TP7_EP7
