timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:50:16.022,2,81,48150,81559,30,147.67,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:16.025,3,86,47718,81559,30,148.38,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:16.033,4,78,48836,81559,32,144.71,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:50:16.035,5,84,48980,81559,29,142.27,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:16.038,6,89,48932,81559,30,147.88,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:16.046,7,75,48500,81559,27,143.61,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:50:17.428,0,20,48222,81559,31,148.19,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:50:17.433,1,85,48198,81559,33,145.69,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:50:17.449,2,81,48150,81559,29,148.39,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:17.453,3,81,47718,81559,30,150.26,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:17.456,4,87,48836,81559,33,144.33,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:50:17.459,5,81,48980,81559,29,143.04,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:17.462,6,81,48932,81559,30,148.47,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:17.464,7,84,48500,81559,27,145.59,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:50:18.934,0,11,48222,81559,31,145.76,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:50:18.940,1,84,48198,81559,32,143.72,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:50:18.947,2,81,48150,81559,29,147.19,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:18.958,3,81,47718,81559,30,147.85,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:18.963,4,86,48836,81559,32,144.77,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:50:18.967,5,82,48980,81559,28,142.83,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:18.972,6,89,48932,81559,30,146.52,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:18.977,7,87,48500,81559,26,145.96,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:50:20.521,0,11,48222,81559,31,148.64,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:50:20.526,1,87,48198,81559,33,145.19,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:50:20.530,2,81,48150,81559,29,147.97,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:20.533,3,90,47718,81559,30,149.69,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:20.538,4,84,48836,81559,32,145.73,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:50:20.541,5,85,48980,81559,28,143.65,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:20.545,6,84,48932,81559,30,149.21,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:20.549,7,86,48500,81559,27,145.06,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:50:21.930,0,17,48222,81559,31,148.11,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:50:21.938,1,82,48198,81559,32,145.95,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:50:21.943,2,76,48150,81559,29,147.30,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:21.948,3,86,47718,81559,30,147.94,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:21.951,4,81,48836,81559,32,145.08,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
