timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:42:53.196,0,98,77530,81559,39,344.40,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:42:53.201,1,99,77488,81559,40,336.97,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:42:53.206,2,99,77368,81559,37,339.21,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:42:53.209,3,99,76768,81559,40,351.99,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:42:53.212,4,99,77544,81559,41,338.46,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:42:53.215,5,99,77708,81559,36,338.01,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:42:53.218,6,99,77624,81559,39,347.41,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:42:53.222,7,99,77124,81559,35,338.35,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:42:55.171,0,98,77530,81559,39,346.37,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:42:55.180,1,98,77488,81559,40,338.45,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:42:55.185,2,98,77368,81559,37,335.79,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:42:55.188,3,98,76768,81559,40,354.96,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:42:55.191,4,98,77544,81559,42,341.99,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:42:55.194,5,98,77708,81559,36,339.23,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:42:55.198,6,99,77624,81559,39,352.15,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:42:55.201,7,98,77124,81559,35,341.04,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:42:56.622,0,98,77530,81559,39,345.85,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:42:56.631,1,98,77488,81559,40,341.01,ray::WorkerDict; sglang::scheduler_TP1_EP1
