timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:31:04.163,4,99,77628,81559,44,365.03,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:04.167,5,99,77848,81559,37,360.18,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:04.171,6,98,77650,81559,41,367.70,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:04.175,7,97,77012,81559,36,358.76,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:05.811,0,95,77456,81559,42,327.91,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:05.822,1,96,77394,81559,41,325.72,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:05.829,2,98,77274,81559,38,320.21,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:05.833,3,83,76694,81559,42,335.91,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:05.837,4,99,77628,81559,44,330.10,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:05.842,5,99,77848,81559,37,326.30,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:05.846,6,95,77650,81559,41,326.11,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:05.849,7,99,77012,81559,36,320.68,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:07.493,0,94,77456,81559,42,362.30,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:07.508,1,99,77394,81559,41,359.89,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:07.516,2,99,77274,81559,39,353.26,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:07.522,3,91,76694,81559,42,373.53,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:07.536,4,99,77628,81559,45,360.12,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:07.544,5,99,77848,81559,37,359.73,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:07.559,6,99,77650,81559,42,366.07,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:07.569,7,96,77012,81559,36,360.71,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:09.032,0,99,77456,81559,42,380.14,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:09.046,1,99,77394,81559,42,365.67,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:09.053,2,99,77274,81559,39,369.80,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:09.057,3,99,76694,81559,43,382.75,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:09.061,4,99,77628,81559,45,371.76,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:09.065,5,99,77848,81559,38,368.93,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:09.068,6,99,77650,81559,42,378.81,ray::WorkerDict; sglang::scheduler_TP6_EP6
