timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:16:35.858,0,12,52898,81559,31,144.50,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 13:16:35.867,1,90,52776,81559,32,143.94,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 13:16:35.871,2,90,52834,81559,29,143.42,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 13:16:35.875,3,87,52134,81559,30,144.09,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 13:16:35.878,4,91,53776,81559,32,140.81,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 13:16:35.881,5,90,53898,81559,28,139.25,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 13:16:35.884,6,87,54020,81559,30,146.05,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 13:16:35.887,7,90,53098,81559,27,139.74,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 13:16:37.477,0,15,52878,81559,31,143.55,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 13:16:37.483,1,91,52756,81559,32,143.83,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 13:16:37.486,2,80,52814,81559,30,144.27,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 13:16:37.490,3,81,52114,81559,31,144.57,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 13:16:37.493,4,90,53756,81559,33,144.76,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 13:16:37.496,5,82,53878,81559,29,140.07,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 13:16:37.498,6,84,54000,81559,31,147.79,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 13:16:37.501,7,90,53078,81559,27,140.96,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 13:16:39.092,0,18,52898,81559,31,143.88,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 13:16:39.110,1,84,52776,81559,32,143.20,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 13:16:39.119,2,83,52834,81559,30,145.12,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 13:16:39.142,3,90,52134,81559,31,145.32,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 13:16:39.174,4,87,53756,81559,33,144.51,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 13:16:39.184,5,77,53878,81559,29,140.31,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 13:16:39.193,6,77,54000,81559,31,148.13,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 13:16:39.202,7,84,53078,81559,26,141.14,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 13:16:40.748,0,18,52878,81559,31,147.19,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 13:16:40.760,1,88,52756,81559,32,146.14,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 13:16:40.766,2,73,52814,81559,30,146.88,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 13:16:40.773,3,83,52114,81559,31,147.34,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 13:16:40.778,4,83,53776,81559,33,144.54,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 13:16:40.782,5,75,53898,81559,29,141.93,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 13:16:40.787,6,87,54020,81559,31,149.57,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 13:16:40.822,7,88,53098,81559,27,142.97,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 13:16:42.292,0,16,52898,81559,31,144.74,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 13:16:42.302,1,87,52776,81559,32,143.53,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 13:16:42.308,2,85,52834,81559,30,146.92,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 13:16:42.314,3,80,52134,81559,31,146.58,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 13:16:42.318,4,86,53776,81559,33,142.65,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 13:16:42.324,5,91,53898,81559,29,139.14,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 13:16:42.328,6,87,54020,81559,30,147.14,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
