timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:00:37.306,0,0,1,81559,26,71.53,
2026/02/02 12:00:37.307,1,0,1,81559,28,73.03,
2026/02/02 12:00:37.308,2,0,1,81559,25,73.72,
2026/02/02 12:00:37.308,3,0,1,81559,24,71.06,
2026/02/02 12:00:37.311,4,0,1,81559,27,72.71,
2026/02/02 12:00:37.330,5,0,1,81559,24,70.48,
2026/02/02 12:00:37.344,6,0,1,81559,24,72.91,
2026/02/02 12:00:37.357,7,0,1,81559,22,70.82,
2026/02/02 12:00:38.968,0,0,1,81559,26,71.53,
2026/02/02 12:00:38.969,1,0,1,81559,28,72.99,
2026/02/02 12:00:38.969,2,0,1,81559,25,73.73,
2026/02/02 12:00:38.969,3,0,1,81559,24,70.96,
2026/02/02 12:00:38.970,4,0,1,81559,27,72.69,
2026/02/02 12:00:38.970,5,0,1,81559,24,70.44,
2026/02/02 12:00:38.988,6,0,1,81559,24,72.91,
2026/02/02 12:00:39.004,7,0,1,81559,22,70.80,
2026/02/02 12:00:40.526,0,0,1,81559,26,71.53,
2026/02/02 12:00:40.528,1,0,1,81559,28,72.97,
2026/02/02 12:00:40.530,2,0,1,81559,25,73.74,
2026/02/02 12:00:40.530,3,0,1,81559,24,71.12,
2026/02/02 12:00:40.531,4,0,1,81559,27,72.70,
2026/02/02 12:00:40.531,5,0,1,81559,24,70.50,
2026/02/02 12:00:40.532,6,0,1,81559,24,72.89,
2026/02/02 12:00:40.532,7,0,1,81559,22,70.76,
2026/02/02 12:00:42.094,0,0,1,81559,26,71.50,
2026/02/02 12:00:42.096,1,0,1,81559,28,73.00,
2026/02/02 12:00:42.097,2,0,1,81559,25,73.71,
2026/02/02 12:00:42.105,3,0,1,81559,24,71.18,
2026/02/02 12:00:42.118,4,0,1,81559,27,72.69,
2026/02/02 12:00:42.131,5,0,1,81559,24,70.41,
2026/02/02 12:00:42.141,6,0,1,81559,24,72.94,
2026/02/02 12:00:42.152,7,0,1,81559,22,70.81,
2026/02/02 12:00:43.529,0,0,1,81559,26,71.52,
2026/02/02 12:00:43.529,1,0,1,81559,28,73.02,
2026/02/02 12:00:43.530,2,0,1,81559,25,73.73,
2026/02/02 12:00:43.530,3,0,1,81559,24,71.14,
2026/02/02 12:00:43.531,4,0,1,81559,27,72.72,
2026/02/02 12:00:43.542,5,0,1,81559,24,70.48,
2026/02/02 12:00:43.553,6,0,1,81559,24,72.95,
2026/02/02 12:00:43.562,7,0,1,81559,22,70.81,
