timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:43:44.479,0,99,77530,81559,43,365.45,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:43:44.487,1,98,77488,81559,42,361.44,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:43:44.491,2,98,77368,81559,39,358.15,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:43:44.495,3,98,76768,81559,43,374.81,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:43:44.498,4,99,77544,81559,45,365.75,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:43:44.502,5,99,77708,81559,38,360.81,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:43:44.506,6,99,77624,81559,43,373.41,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:43:44.509,7,99,77124,81559,37,357.52,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:43:46.376,0,98,77530,81559,43,369.15,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:43:46.390,1,98,77488,81559,42,362.16,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:43:46.395,2,98,77368,81559,39,360.05,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:43:46.399,3,99,76768,81559,43,379.59,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:43:46.403,4,98,77544,81559,45,363.67,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:43:46.407,5,98,77708,81559,38,362.83,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:43:46.411,6,99,77624,81559,43,379.17,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:43:46.414,7,98,77124,81559,36,362.35,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:43:48.052,0,98,77530,81559,43,366.71,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:43:48.062,1,98,77488,81559,42,359.07,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:43:48.068,2,98,77368,81559,39,358.20,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:43:48.076,3,99,76768,81559,43,375.10,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:43:48.082,4,99,77544,81559,45,364.62,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:43:48.088,5,99,77708,81559,38,361.62,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:43:48.094,6,99,77624,81559,43,373.40,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:43:48.100,7,99,77124,81559,37,361.95,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:43:49.573,0,98,77530,81559,43,372.73,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:43:49.581,1,98,77488,81559,42,362.01,ray::WorkerDict; sglang::scheduler_TP1_EP1
