timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw
2026/02/02 09:19:43.911,0,79,72133,81559,36,280.51
2026/02/02 09:19:43.919,1,86,72293,81559,37,281.31
2026/02/02 09:19:43.925,2,81,72217,81559,35,281.65
2026/02/02 09:19:43.929,3,78,71801,81559,36,293.67
2026/02/02 09:19:43.933,4,81,72103,81559,38,271.62
2026/02/02 09:19:43.936,5,79,72263,81559,33,277.34
2026/02/02 09:19:43.939,6,78,72199,81559,36,281.30
2026/02/02 09:19:43.943,7,81,71783,81559,32,280.84
2026/02/02 09:19:45.153,0,90,72133,81559,36,268.98
2026/02/02 09:19:45.162,1,89,72293,81559,37,273.93
2026/02/02 09:19:45.169,2,83,72217,81559,34,272.98
2026/02/02 09:19:45.173,3,87,71801,81559,37,280.77
2026/02/02 09:19:45.177,4,84,72103,81559,37,262.69
2026/02/02 09:19:45.181,5,81,72263,81559,33,267.07
2026/02/02 09:19:45.185,6,87,72199,81559,36,274.70
2026/02/02 09:19:45.191,7,87,71783,81559,32,270.55
2026/02/02 09:19:46.372,0,77,72133,81559,36,275.27
2026/02/02 09:19:46.380,1,77,72293,81559,37,273.84
2026/02/02 09:19:46.385,2,77,72217,81559,34,272.57
2026/02/02 09:19:46.389,3,79,71801,81559,37,282.19
2026/02/02 09:19:46.392,4,82,72103,81559,37,271.31
2026/02/02 09:19:46.396,5,84,72263,81559,33,266.23
2026/02/02 09:19:46.399,6,82,72199,81559,36,275.34
2026/02/02 09:19:46.402,7,77,71783,81559,32,272.66
