timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:39:55.794,0,90,49390,81559,43,367.88,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:39:55.811,1,90,49126,81559,43,343.95,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:39:55.819,2,90,48988,81559,41,363.04,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:39:55.826,3,93,49248,81559,45,394.27,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:39:55.832,4,84,50538,81559,50,465.22,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:39:55.838,5,88,51444,81559,42,447.42,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:39:55.844,6,83,51002,81559,46,483.29,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:39:55.854,7,87,49442,81559,41,460.83,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:39:57.544,0,87,49390,81559,47,444.26,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:39:57.557,1,88,49126,81559,46,426.73,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:39:57.568,2,88,48988,81559,43,454.82,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:39:57.578,3,83,49248,81559,47,427.49,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:39:57.586,4,88,50538,81559,50,430.59,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:39:57.594,5,88,51924,81559,42,456.08,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:39:57.601,6,91,51022,81559,47,468.08,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:39:57.617,7,89,49442,81559,40,426.98,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:39:59.648,0,84,49390,81559,45,479.69,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:39:59.665,1,94,49126,81559,46,461.92,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:39:59.696,2,91,48988,81559,44,486.83,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:39:59.714,3,93,49248,81559,48,453.02,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:39:59.762,4,92,50538,81559,50,450.34,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:39:59.801,5,91,51924,81559,42,476.65,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:39:59.825,6,92,51022,81559,49,465.84,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:39:59.839,7,89,49442,81559,40,442.60,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:01.523,0,94,49390,81559,40,360.70,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:01.570,1,94,49126,81559,39,347.17,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:01.584,2,95,48988,81559,37,351.39,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:01.597,3,91,49248,81559,40,369.56,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:01.605,4,94,50538,81559,49,411.90,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:01.616,5,89,51924,81559,38,423.43,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:01.630,6,93,51022,81559,42,436.96,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:01.637,7,95,49442,81559,39,408.45,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:03.506,0,83,49390,81559,43,314.39,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:03.516,1,94,49126,81559,44,318.45,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:03.524,2,92,48988,81559,41,317.78,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:03.537,3,96,49248,81559,43,329.47,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:03.560,4,91,50538,81559,49,390.70,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:03.581,5,88,51924,81559,42,387.45,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:03.593,6,92,51022,81559,45,418.97,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:03.600,7,90,49442,81559,40,383.22,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:05.371,0,93,49390,81559,45,320.94,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:05.382,1,90,49126,81559,44,311.79,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:05.395,2,94,48988,81559,43,312.98,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:05.403,3,78,49248,81559,46,317.85,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:05.419,4,100,50538,81559,48,327.65,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:05.473,5,91,51924,81559,41,347.79,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:05.490,6,96,51022,81559,48,353.61,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:05.524,7,85,49442,81559,40,341.42,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:07.524,0,86,49390,81559,47,431.45,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:07.532,1,88,49126,81559,45,412.96,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:07.547,2,89,48988,81559,44,425.18,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:07.559,3,86,49248,81559,47,413.81,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:07.566,4,86,50538,81559,51,406.15,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:07.572,5,85,51924,81559,42,420.71,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:07.578,6,93,51022,81559,49,432.47,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:07.590,7,85,49442,81559,40,399.19,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:09.119,0,90,49390,81559,44,340.50,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:09.131,1,94,49126,81559,44,339.64,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:09.141,2,93,48988,81559,39,335.28,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:09.148,3,93,49248,81559,45,368.54,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:09.160,4,91,50538,81559,48,461.39,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
