timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw
2026/02/02 11:33:42.513,0,97,73686,81559,40,260.71
2026/02/02 11:33:42.516,1,97,73678,81559,38,253.48
2026/02/02 11:33:42.521,2,97,73614,81559,35,254.43
2026/02/02 11:33:42.545,3,97,73198,81559,40,261.50
2026/02/02 11:33:42.569,4,97,73512,81559,42,258.41
2026/02/02 11:33:42.589,5,98,73672,81559,35,250.79
2026/02/02 11:33:42.593,6,97,73608,81559,39,259.99
2026/02/02 11:33:42.596,7,97,73192,81559,33,254.81
2026/02/02 11:33:43.929,0,97,73686,81559,40,260.98
2026/02/02 11:33:43.934,1,97,73678,81559,38,255.24
2026/02/02 11:33:43.951,2,97,73614,81559,35,254.55
2026/02/02 11:33:43.961,3,97,73198,81559,40,263.69
2026/02/02 11:33:43.969,4,97,73512,81559,42,258.40
2026/02/02 11:33:43.975,5,98,73672,81559,35,252.30
2026/02/02 11:33:43.984,6,98,73608,81559,39,260.64
2026/02/02 11:33:43.993,7,97,73192,81559,33,253.74
2026/02/02 11:33:45.269,0,97,73686,81559,40,261.99
2026/02/02 11:33:45.273,1,97,73678,81559,38,256.30
2026/02/02 11:33:45.283,2,97,73614,81559,35,255.29
2026/02/02 11:33:45.290,3,97,73198,81559,40,264.32
2026/02/02 11:33:45.294,4,97,73512,81559,42,260.24
2026/02/02 11:33:45.299,5,98,73672,81559,34,253.01
2026/02/02 11:33:45.315,6,98,73608,81559,39,262.50
2026/02/02 11:33:45.320,7,97,73192,81559,33,254.98
2026/02/02 11:33:46.567,0,97,73686,81559,40,260.78
2026/02/02 11:33:46.574,1,97,73678,81559,38,254.79
2026/02/02 11:33:46.579,2,97,73614,81559,35,253.61
2026/02/02 11:33:46.584,3,97,73198,81559,40,263.25
2026/02/02 11:33:46.589,4,97,73512,81559,42,259.00
2026/02/02 11:33:46.598,5,98,73672,81559,34,252.02
2026/02/02 11:33:46.603,6,97,73608,81559,39,261.82
2026/02/02 11:33:46.608,7,97,73192,81559,33,255.38
2026/02/02 11:33:47.857,0,97,73686,81559,40,260.55
2026/02/02 11:33:47.866,1,97,73678,81559,38,254.68
2026/02/02 11:33:47.871,2,97,73614,81559,35,253.23
2026/02/02 11:33:47.877,3,97,73198,81559,39,264.56
2026/02/02 11:33:47.881,4,97,73512,81559,42,258.74
2026/02/02 11:33:47.894,5,98,73672,81559,34,252.77
2026/02/02 11:33:47.906,6,98,73608,81559,39,261.49
2026/02/02 11:33:47.918,7,97,73192,81559,33,254.92
2026/02/02 11:33:49.161,0,97,73686,81559,40,262.14
2026/02/02 11:33:49.171,1,97,73678,81559,38,256.32
2026/02/02 11:33:49.183,2,97,73614,81559,35,254.43
2026/02/02 11:33:49.196,3,97,73198,81559,39,264.75
2026/02/02 11:33:49.200,4,97,73512,81559,42,260.42
2026/02/02 11:33:49.206,5,98,73672,81559,34,254.13
2026/02/02 11:33:49.209,6,98,73608,81559,39,262.78
