timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw
2026/02/02 09:39:53.875,0,92,76757,81559,35,181.52
2026/02/02 09:39:53.886,1,92,77241,81559,35,179.96
2026/02/02 09:39:53.895,2,93,77065,81559,32,180.67
2026/02/02 09:39:53.902,3,93,76551,81559,35,183.64
2026/02/02 09:39:53.908,4,92,77115,81559,37,179.96
2026/02/02 09:39:53.913,5,93,77617,81559,31,176.13
2026/02/02 09:39:53.918,6,92,77177,81559,34,183.56
2026/02/02 09:39:53.923,7,93,76677,81559,30,176.34
2026/02/02 09:39:55.126,0,92,76757,81559,35,181.66
2026/02/02 09:39:55.135,1,93,77241,81559,35,180.01
2026/02/02 09:39:55.142,2,93,77065,81559,32,180.97
2026/02/02 09:39:55.148,3,93,76551,81559,35,183.45
2026/02/02 09:39:55.153,4,93,77115,81559,37,180.34
2026/02/02 09:39:55.158,5,93,77617,81559,31,176.53
2026/02/02 09:39:55.166,6,93,77177,81559,34,184.03
2026/02/02 09:39:55.171,7,93,76677,81559,29,176.29
2026/02/02 09:39:56.378,0,92,76757,81559,35,181.54
2026/02/02 09:39:56.387,1,92,77241,81559,35,179.40
2026/02/02 09:39:56.394,2,93,77065,81559,32,180.71
2026/02/02 09:39:56.401,3,93,76551,81559,35,183.17
2026/02/02 09:39:56.411,4,92,77115,81559,37,179.92
2026/02/02 09:39:56.417,5,92,77617,81559,31,176.46
2026/02/02 09:39:56.422,6,93,77177,81559,34,183.96
2026/02/02 09:39:56.428,7,93,76677,81559,29,176.09
2026/02/02 09:39:57.747,0,93,76757,81559,35,181.62
2026/02/02 09:39:57.758,1,92,77241,81559,35,179.85
2026/02/02 09:39:57.768,2,92,77065,81559,32,180.49
2026/02/02 09:39:57.777,3,92,76551,81559,34,182.99
2026/02/02 09:39:57.785,4,92,77115,81559,37,180.01
2026/02/02 09:39:57.795,5,92,77617,81559,31,176.32
2026/02/02 09:39:57.802,6,93,77177,81559,34,183.64
2026/02/02 09:39:57.809,7,92,76677,81559,29,176.23
