timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw
2026/02/02 11:37:23.359,0,5,20534,81559,31,121.11
2026/02/02 11:37:23.371,1,0,20592,81559,32,119.21
2026/02/02 11:37:23.389,2,0,20532,81559,29,120.86
2026/02/02 11:37:23.417,3,0,19916,81559,30,121.32
2026/02/02 11:37:23.437,4,0,20700,81559,32,119.31
2026/02/02 11:37:23.451,5,0,20906,81559,29,116.37
2026/02/02 11:37:23.457,6,0,20804,81559,30,121.65
2026/02/02 11:37:23.463,7,0,20188,81559,26,116.48
2026/02/02 11:37:24.756,0,0,12914,81559,31,121.29
2026/02/02 11:37:24.762,1,0,12972,81559,32,119.46
2026/02/02 11:37:24.767,2,0,12912,81559,29,120.95
2026/02/02 11:37:24.770,3,0,12276,81559,29,121.64
2026/02/02 11:37:24.773,4,0,12960,81559,32,119.55
2026/02/02 11:37:24.780,5,0,13186,81559,28,116.66
2026/02/02 11:37:24.783,6,0,13084,81559,30,121.93
2026/02/02 11:37:24.786,7,0,12468,81559,26,116.83
2026/02/02 11:37:25.971,0,0,12914,81559,31,120.58
2026/02/02 11:37:25.991,1,0,12972,81559,32,118.88
2026/02/02 11:37:26.000,2,0,12912,81559,29,120.62
2026/02/02 11:37:26.011,3,0,12276,81559,29,121.25
2026/02/02 11:37:26.016,4,0,12960,81559,32,119.06
2026/02/02 11:37:26.019,5,0,13186,81559,28,116.16
2026/02/02 11:37:26.021,6,0,13084,81559,30,121.32
2026/02/02 11:37:26.024,7,0,12468,81559,26,116.17
2026/02/02 11:37:27.616,0,28,28194,81559,31,121.92
2026/02/02 11:37:27.626,1,1,28252,81559,32,120.99
2026/02/02 11:37:27.635,2,1,28192,81559,29,123.39
2026/02/02 11:37:27.642,3,27,27556,81559,29,122.93
2026/02/02 11:37:27.648,4,21,28440,81559,32,120.93
2026/02/02 11:37:27.659,5,34,28626,81559,28,118.35
2026/02/02 11:37:27.666,6,1,28524,81559,30,123.29
2026/02/02 11:37:27.693,7,20,27908,81559,26,118.31
2026/02/02 11:37:29.013,0,16,28274,81559,31,123.04
2026/02/02 11:37:29.021,1,95,28312,81559,32,129.33
2026/02/02 11:37:29.034,2,100,28272,81559,30,139.17
2026/02/02 11:37:29.042,3,100,27596,81559,30,140.05
2026/02/02 11:37:29.047,4,100,28480,81559,33,132.15
2026/02/02 11:37:29.051,5,100,28666,81559,28,124.75
2026/02/02 11:37:29.058,6,83,28564,81559,30,137.13
2026/02/02 11:37:29.063,7,100,27968,81559,27,130.99
2026/02/02 11:37:30.282,0,92,32418,81559,34,230.41
2026/02/02 11:37:30.287,1,100,32298,81559,36,212.52
2026/02/02 11:37:30.293,2,100,32056,81559,33,223.28
2026/02/02 11:37:30.303,3,100,32100,81559,34,236.88
2026/02/02 11:37:30.307,4,65,32744,81559,35,244.75
2026/02/02 11:37:30.311,5,83,32692,81559,33,255.77
2026/02/02 11:37:30.330,6,88,33068,81559,36,247.77
2026/02/02 11:37:30.348,7,80,32152,81559,30,241.86
2026/02/02 11:37:31.562,0,66,33780,81559,33,259.18
2026/02/02 11:37:31.568,1,75,33760,81559,33,245.80
2026/02/02 11:37:31.572,2,87,33316,81559,31,250.80
2026/02/02 11:37:31.576,3,85,33762,81559,33,265.36
2026/02/02 11:37:31.579,4,61,34944,81559,39,292.45
2026/02/02 11:37:31.582,5,69,34954,81559,32,296.91
2026/02/02 11:37:31.586,6,73,35388,81559,37,327.33
2026/02/02 11:37:31.593,7,94,34572,81559,33,307.59
2026/02/02 11:37:32.890,0,70,35060,81559,35,168.71
2026/02/02 11:37:32.900,1,88,34800,81559,38,152.60
2026/02/02 11:37:32.907,2,94,34296,81559,33,162.91
2026/02/02 11:37:32.913,3,88,34322,81559,33,156.13
2026/02/02 11:37:32.919,4,93,35784,81559,38,177.12
2026/02/02 11:37:32.951,5,86,36514,81559,33,172.10
2026/02/02 11:37:32.963,6,92,36228,81559,33,177.74
