timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:45:04.578,0,98,77534,81559,43,345.59,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:45:04.585,1,98,77492,81559,41,339.23,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:45:04.589,2,98,77372,81559,39,334.92,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:45:04.592,3,98,76772,81559,44,355.48,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:45:04.596,4,98,77548,81559,46,341.71,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:45:04.599,5,98,77712,81559,38,342.70,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:45:04.603,6,98,77628,81559,43,351.86,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:45:04.606,7,98,77128,81559,36,337.95,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:45:06.251,0,98,77534,81559,43,350.13,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:45:06.259,1,98,77492,81559,41,342.34,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:45:06.264,2,97,77372,81559,39,339.80,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:45:06.268,3,98,76772,81559,44,357.79,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:45:06.271,4,98,77548,81559,46,346.07,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:45:06.275,5,98,77712,81559,38,344.72,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:45:06.278,6,98,77628,81559,43,357.48,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:45:06.282,7,98,77128,81559,36,345.09,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:45:07.702,0,98,77534,81559,43,362.36,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:45:07.709,1,98,77492,81559,42,356.82,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:45:07.714,2,100,77372,81559,39,352.53,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:45:07.718,3,98,76772,81559,44,369.23,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:45:07.721,4,98,77548,81559,46,358.60,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:45:07.726,5,98,77712,81559,38,359.43,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:45:07.730,6,99,77628,81559,43,369.91,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:45:07.734,7,98,77128,81559,37,353.33,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:45:09.654,0,98,77534,81559,43,366.17,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:45:09.663,1,99,77492,81559,42,357.20,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 12:45:09.670,2,98,77372,81559,39,356.40,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 12:45:09.674,3,99,76772,81559,44,372.56,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 12:45:09.678,4,98,77548,81559,46,358.38,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 12:45:09.685,5,98,77712,81559,38,358.94,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 12:45:09.691,6,99,77628,81559,43,368.34,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 12:45:09.695,7,99,77128,81559,37,355.97,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 12:45:11.205,0,98,77534,81559,43,348.65,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 12:45:11.213,1,98,77492,81559,41,339.81,ray::WorkerDict; sglang::scheduler_TP1_EP1
